r_seed=3,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.165851,  -0.204087,   0.021018,   0.235422,   0.080405,   0.059717,   0.876093,   0.165413,  
Y Velocity[A/fs],   0.093826,  -0.084628,  -0.219604,  -0.028629,   0.224747,  -0.873938,  -0.062509,   0.862200, 
Z Velocity[A/fs],  -0.009395,   0.013880,  -0.008421,  -0.006957,   0.014946,   0.058347,   0.020820,   0.004796,  
Speed[A/fs],   0.190784,   0.221373,   0.220768,   0.237259,   0.239164,   0.877917,   0.878567,   0.877937,  
 
r_seed=23,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.162487,  -0.194206,   0.030645,   0.241405,   0.080771,   0.005164,   0.877130,   0.102209,  
Y Velocity[A/fs],   0.095733,  -0.079098,  -0.221031,  -0.019662,   0.228414,  -0.876753,  -0.089333,   0.874732, 
Z Velocity[A/fs],  -0.012155,   0.017019,   0.005399,  -0.024970,   0.013370,  -0.000761,   0.002840,   0.006935,  
Speed[A/fs],   0.188983,   0.210386,   0.223210,   0.243488,   0.242643,   0.876769,   0.881672,   0.880710,  
 
r_seed=24,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
